停车场名称,所在园区,地址,面积,车位数,充电桩数,是否通网,是否通电
青龙农场LQ-YZ-25东侧地上停车场,青龙农场,四川省成都市龙泉驿区大平路,1800,69,0,是,是
萌宠乐园4号楼西侧停车场,萌宠乐园,四川省成都市双流区西航港大道北段,4541㎡,100,,未知,是
亲子牧场5号林盘地上停车场,拾趣园,无,,,,否,未知
导航路地上停车场,纵横乐园,无,1200,50,,否,否
亲子牧场白沙路归园桥北侧停车场,拾趣园,四川省成都市郫都区白沙路,1773,24,,否,是
草堂苗圃地面停车场,青龙湖一期,四川省成都市龙泉驿区成洛大道,2698,71,,是,是
一叶禅林金华寺对面地上停车场,一叶禅林,无,,,,否,未知
焦公墓地上停车场,郫都C区（暂定）,无,1300,60,,否,否
桂溪西区地面停车场,桂溪生态公园西区,四川省成都市武侯区天府一街,1596,42,,是,是
锦绣水韵大石村现状路北侧停车场,锦绣水韵,四川省成都市青羊区成都绕城高速公路,1400,35,,否,否        
江家艺苑凝神湖南侧停车场,江家艺苑,四川省成都市锦江区驸江路,,189,,是,是
玉石湿地西LQ-YZ-36西侧临近玉景路地上停车场,玉石湿地西,四川省成都市龙泉驿区玉石路,1782,148,,是,是 
拾光里近绕城市政路北地上停车场,拾光里,四川省成都市青羊区成都绕城高速公路,2000,50,,否,否
青龙湖二期QL-6南侧地上停车场,青龙湖二期,四川省成都市龙泉驿区十洪路,2770,73,0,否,否
亲子牧场8号卫生间西侧停车场,拾趣园,四川省成都市郫都区白沙路,1571,41,,否,否
一叶禅林禅心苑地上停车场,一叶禅林,无,,,,否,未知
凤求凰B区05林盘东侧停车场,凤求凰,四川省成都市双流区柑通路,457,15,,否,否
蜀道通衢秦川流韵西侧停车场,蜀道通衢,四川省成都市金牛区金新路,6669,176,,否,是
凤求凰H区多功能停车场,凤求凰,四川省成都市双流区美湖路,3250㎡,100,,未知,是
三里江安儿童游乐场南侧停车场,三里江安,四川省成都市双流区成都绕城高速公路,5336.96,135,,否,否      
玉石湿地东S6南侧猴子坡地上停车场,玉石湿地东,四川省成都市龙泉驿区西大路,1665,27,0,是,是
一叶禅林禅心苑东侧停车场,一叶禅林,四川省成都市金牛区金华寺东路162号,550,14,,否,否
凤求凰东区停车场,凤求凰,四川省成都市双流区美湖路,6113,172,,未知,是
中和N9地下停车场,中和湿地,四川省成都市双流区新民西街47号,4560,120,,否,是
千林里3号楼地下停车场,千林里,四川省成都市双流区成都绕城高速公路,6000㎡（约）,150,,否,否
近光华大道停车场,青羊E区（暂定）,四川省成都市青羊区G4202,1200,50,,否,否
蜀道通衢古医温泉东侧停车场,蜀道通衢,四川省成都市金牛区金新路,3417,90,,否,否
玉石湿地西YS-1地面停车场,玉石湿地西,四川省成都市龙泉驿区厦蓉高速公路,1710,45,0,是,是
拾光里近绕城市政路南地上停车场,拾光里,四川省成都市青羊区成都绕城高速公路,2400㎡,60,,否,否        
三里江安1号楼西侧停车场,三里江安,四川省成都市双流区成都绕城高速公路,5993.16,150,,否,否
锦城湖2号湖停车场,锦城湖,四川省成都市武侯区锦城大道,2470,44,,是,是
QY-LP-01东侧停车场,青羊F区（暂定）,四川省成都市青羊区导航路,1000,36,,否,否
青龙湖二期QL-5西侧地上停车场,青龙湖二期,四川省成都市龙泉驿区,6694,171,,是,是
江家艺苑归本园南侧停车场,江家艺苑,四川省成都市锦江区驸江路,,129,,是,是
青龙湖一期QL-10建筑地上停车场,青龙湖一期,四川省成都市龙泉驿区世纪大道,360,20,0,是,是
大田地上停车场,郫都D区（暂定）,无,1000,36,,否,否
中和S15东侧停车场,中和湿地,四川省成都市双流区新上街,4560,120,,是,是
锦城大道旁拓高乐停车场,交子百业,四川省成都市武侯区锦城大道1950号,17404,458,,否,是
亲子牧场6号林盘南侧地上停车场,拾趣园,无,,,,否,未知
漏沙雁地上停车场,锦绣水韵,无,1000,36,,否,否
茶马古道1号楼东侧停车场,茶马古道,四川省成都市双流区统力大道,3429,85,,否,否
一叶禅林金华寺东侧停车场,一叶禅林,四川省成都市金牛区金芙蓉大道,575,15,,否,否
亲子牧场4号林盘西北侧停车场,拾趣园,四川省成都市郫都区成都绕城高速公路,1503,40,,否,否
亲子牧场4号林盘西侧地上停车场,拾趣园,无,,,,否,未知
土龙路南侧停车场,青羊E区（暂定）,四川省成都市青羊区土龙路,750,26,,否,否
QY-LP-04西侧停车场,青羊G区（暂定）,四川省成都市青羊区文兴北路,1100,40,,否,否
中和S14南侧停车场,中和湿地,四川省成都市双流区朝阳横街,4674,123,,是,是
亲子牧场安团路春水桥下停车场,拾趣园,四川省成都市郫都区安团路,1075,28,,否,否
蜀道通衢竹舍地上停车场,蜀道通衢,无,,,,否,未知
亲子牧场6号林盘北侧地上停车场,拾趣园,无,,,,否,未知
SL-LP-01南侧停车场,萌宠乐园,四川省成都市双流区西航港大道中一段,756,24,,未知,否
玉石湿地西YS-1地下停车场,玉石湿地西,四川省成都市龙泉驿区G76,2350,24,0,否,是
三圣乡万福花市停车场,荷塘月色,四川省成都市龙泉驿区成万路,,107,,否,是
西华大学西侧停车场,郫都A区（暂定）,四川省成都市郫都区犀团路,1100,40,,否,否
今日花园副入口地上停车场,青野林,无,800㎡（约）,50,,否,否
四期6标（生态修复园北侧）停车场,郫都C区（暂定）,四川省成都市郫都区双石路,1300,60,,否,否
锦城湖4号湖停车场,锦城湖,四川省成都市武侯区盛兴街,1482,39,,是,是
青龙湖LQ-YZ-01西侧临时停车场,青龙湖一期,四川省成都市龙泉驿区世纪大道,38000,1000,,是,是
亲子牧场白沙路归园桥南侧停车场,拾趣园,四川省成都市郫都区白沙路,2225,59,,否,否
青龙湖一期LQ-YZ-02北侧地上停车场,青龙湖一期,四川省成都市龙泉驿区成洛大道,15000,265,,是,是        
锦绣水韵2号楼东南侧停车场,锦绣水韵,四川省成都市青羊区文家路,1600㎡,40,,否,否
玉石湿地西YS-4地下停车场,玉石湿地西,四川省成都市龙泉驿区G76,8000,115,0,否,是
锦绣水韵土龙路北侧停车场,锦绣水韵,四川省成都市青羊区黄海路,2400㎡,60,,否,否
交子百业JZ-2地下停车场,交子百业,四川省成都市武侯区锦城大道,1444,38,,否,是
亲子牧场安团路3号厕所地上停车场,拾趣园,无,,,,否,未知
亲子牧场4号林盘北侧地上停车场,拾趣园,无,,,,否,未知
亲子牧场喜沙路外侧6号厕所地上停车场,拾趣园,无,,,,否,未知
凤求凰西区停车场,凤求凰,四川省成都市双流区望江北路,10230,240,,未知,是
亲子牧场郫都六号林盘西南侧停车场,拾趣园,四川省成都市郫都区方安路316号,3480,92,,否,否
成温邛高速收费站地上停车场,纵横乐园,无,1000,36,,否,否
亲子牧场1号林盘地上停车场,拾趣园,无,,,,否,未知
七彩田野南侧停车场,七彩田野,四川省成都市锦江区大安园路,,62,,否,是
三里江安7号卫生间东侧停车场,三里江安,四川省成都市双流区光华8线,2657.03,65,,否,否
SL-LP-07东侧停车场,茶马古道,四川省成都市双流区统力大道,2474,60,,否,否
亲子牧场外侧1号厕所东北侧停车场,拾趣园,四川省成都市郫都区G4202,4934,130,,否,否
文家四号林盘地上停车场,青羊F区（暂定）,无,1100,40,,否,否
中和和美幼儿园旁停车场,中和湿地,四川省成都市双流区朝阳路,3154,83,,是,是
西华大学地上停车场,郫都C区（暂定）,无,1100,40,,否,否
保利198公园东侧停车场,大熊猫繁育研究基地,四川省成都市新都区蜀龙大道,12112,229,,否,否
千林里1号楼东侧停车场,千林里,四川省成都市双流区统力大道,932㎡,24,,否,否
亲子牧场白沙路归园桥北侧地上停车场,拾趣园,无,,,,否,未知
茶马古道特色园内部1,茶马古道,四川省成都市双流区统力大道,8312.24,580,,否,否
保利198公园停车场,大熊猫繁育研究基地,四川省成都市新都区蜀龙大道,8702,229,,否,否
桂溪东区地面停车场（科华路）,桂溪生态公园东区,四川省成都市武侯区科华南路,1292,34,,是,是
芙蓉大道南侧停车场,青羊C区（暂定）,四川省成都市温江区芙蓉大道,800,28,,否,否
今日花园主出入口地上停车场,青野林,无,1500㎡（约）,130,,否,否
青野林西侧主出入口地上停车场,青野林,四川省成都市郫都区岷江南二巷2号,3200㎡,80,,否,否
四标6区近石亭路停车场,郫都D区（暂定）,四川省成都市郫都区石亭路,1000,36,,否,否
亲子牧场5号林盘北侧停车场,拾趣园,四川省成都市郫都区白沙路,2020,53,,否,否
桂溪东区地下停车场,桂溪生态公园东区,四川省成都市武侯区世纪城路,5206,137,,是,是
蜀道通衢主入口地上停车场,蜀道通衢,无,,,,否,未知
白鹭湾1号门南侧停车场,白鹭湾湿地,四川省成都市锦江区时蔬路108号,,62,,是,是
亲子牧场4号林盘西侧停车场,拾趣园,四川省成都市郫都区成都绕城高速公路,1167,31,,否,否
亲子牧场6号卫生间南侧停车场,拾趣园,四川省成都市郫都区安双路,2075,55,,否,否
亲子牧场内侧3号厕所东侧停车场,拾趣园,四川省成都市郫都区安团路,5777,152,,否,否
江家艺苑绿友家南侧停车场,江家艺苑,四川省成都市锦江区湿地路,,171,,是,是
土龙路北侧停车场,青羊F区（暂定）,四川省成都市青羊区土龙路,1000,36,,否,否
亲子牧场春水桥地上停车场,拾趣园,无,,,,否,未知
芙蓉大道地上停车场,锦绣水韵,无,800,28,,否,否
